WORD,MPQA,OPENER,OL,VADER
resents,-0.3,-0.3,-0.3,-0.3
reservations,-1.0,-1.0,-1.0,-1.0
resign,-0.35,-0.35,-0.35,-0.35
resignation,-1.0,-1.0,-1.0,-0.3
resignations,-0.3,-0.3,-0.3,-0.3
resigned,-1.0,-1.0,-1.0,-0.25
resignedly,-0.175,-0.175,-0.175,-0.175
resignedness,-0.2,-0.2,-0.2,-0.2
resigner,-0.3,-0.3,-0.3,-0.3
resigners,-0.25,-0.25,-0.25,-0.25
resigning,-0.225,-0.225,-0.225,-0.225
resigns,-0.325,-0.325,-0.325,-0.325
resilient,1.0,1.0,1.0,1.0
resistance,-1.0,-1.0,-1.0,-1.0
resistant,-1.0,-1.0,-1.0,-1.0
resolute,1.0,1.0,1.0,0.275
resolvable,0.25,0.25,0.25,0.25
resolve,1.0,1.0,0.7999999999999999,0.4
resolved,1.0,1.0,0.725,0.175
resolvent,0.175,0.175,0.175,0.175
resolvents,0.1,0.1,0.1,0.1
resolver,0.175,0.175,0.175,0.175
resolvers,0.35,0.35,0.35,0.35
resolves,0.175,0.175,0.175,0.175
resolving,0.4,0.4,0.4,0.4
resound,1.0,1.0,1.0,1.0
resounding,1.0,1.0,1.0,1.0
resourceful,1.0,1.0,1.0,1.0
resourcefulness,1.0,1.0,1.0,1.0
respect,1.0,1.0,1.0,0.525
respectabilities,0.45,0.45,0.45,0.45
respectability,0.6,0.6,0.6,0.6
respectable,1.0,1.0,1.0,0.475
respectableness,0.3,0.3,0.3,0.3
respectably,0.425,0.425,0.425,0.425
respected,0.525,0.525,0.525,0.525
respecter,0.525,0.525,0.525,0.525
respecters,0.4,0.4,0.4,0.4
respectful,1.0,1.0,1.0,0.5
respectfully,1.0,1.0,1.0,0.425
respectfulness,0.475,0.475,0.475,0.475
respectfulnesses,0.325,0.325,0.325,0.325
respecting,0.55,0.55,0.55,0.55
respective,0.45,0.45,0.45,0.45
respectively,0.35,0.35,0.35,0.35
respectiveness,0.275,0.275,0.275,0.275
respects,0.325,0.325,0.325,0.325
respite,1.0,1.0,1.0,1.0
resplendent,1.0,1.0,1.0,1.0
responsibility,1.0,1.0,1.0,1.0
responsible,1.0,1.0,0.775,0.325
responsibly,1.0,1.0,1.0,1.0
responsive,1.0,1.0,1.0,0.375
restful,1.0,1.0,1.0,0.375
restless,-1.0,-1.0,-1.0,-0.275
restlessly,-0.35,-0.35,-0.35,-0.35
restlessness,-1.0,-1.0,-1.0,-0.3
restoration,1.0,1.0,1.0,1.0
restore,1.0,1.0,0.7666666666666666,0.3
restored,0.675,0.675,1.0,0.35
restores,0.3,0.3,0.3,0.3
restoring,0.3,0.3,0.3,0.3
restraint,1.0,1.0,1.0,1.0
restrict,-1.0,-1.0,-1.0,-0.4
restricted,-1.0,-1.0,-1.0,-0.4
restricting,-0.4,-0.4,-0.4,-0.4
restriction,-1.0,-1.0,-1.0,-0.275
restrictive,-1.0,-1.0,-1.0,-1.0
restricts,-0.325,-0.325,-0.325,-0.325
restructure,1.0,1.0,1.0,1.0
restructured,1.0,1.0,1.0,1.0
restructuring,1.0,1.0,1.0,1.0
resurgent,1.0,1.0,-1.0,0.3333333333333333
retained,0.025,0.025,0.025,0.025
retaliate,-1.0,-1.0,-1.0,-1.0
retaliatory,-1.0,-1.0,-1.0,-1.0
retard,-1.0,-1.0,-1.0,-0.6
retarded,-0.8375,-0.8375,-1.0,-0.675
retardedness,-1.0,-1.0,-1.0,-1.0
retards,-1.0,-1.0,-1.0,-1.0
reticent,-1.0,-1.0,-1.0,-1.0
retire,-1.0,-1.0,-1.0,-1.0
retract,-1.0,-1.0,-1.0,-1.0
retractable,1.0,1.0,1.0,1.0
retreat,-1.0,-1.0,-1.0,0.2
retreated,-1.0,-1.0,-1.0,-1.0
reunite,1.0,1.0,1.0,1.0
reveal,0.0,0.0,0.0,0.0
revealing,0.0,0.0,0.0,0.0
revel,1.0,1.0,1.0,1.0
revelation,1.0,1.0,1.0,1.0
revelatory,0.0,0.0,0.0,0.0
revenge,-1.0,-1.0,-1.0,-0.6
revenged,-0.225,-0.225,-0.225,-0.225
revengeful,-1.0,-1.0,-1.0,-0.6
revengefully,-1.0,-1.0,-1.0,-0.35
revengefulness,-0.55,-0.55,-0.55,-0.55
revenger,-0.525,-0.525,-0.525,-0.525
revengers,-0.5,-0.5,-0.5,-0.5
revenges,-0.475,-0.475,-0.475,-0.475
revere,1.0,1.0,1.0,1.0
revered,0.575,0.575,0.575,0.575
reverence,1.0,1.0,1.0,1.0
reverent,1.0,1.0,1.0,1.0
reverently,1.0,1.0,1.0,1.0
revert,-1.0,-1.0,-1.0,-1.0
revile,-1.0,-1.0,-1.0,-1.0
reviled,-1.0,-1.0,-1.0,-1.0
revitalize,1.0,1.0,1.0,1.0
revival,1.0,1.0,1.0,1.0
revive,1.0,1.0,1.0,0.35
revives,0.7,0.7,1.0,0.4
revoke,-1.0,-1.0,-1.0,-1.0
revolt,-1.0,-1.0,-1.0,-1.0
revolting,-1.0,-1.0,-1.0,-1.0
revoltingly,-1.0,-1.0,-1.0,-1.0
revolution,1.0,1.0,1.0,1.0
revolutionary,1.0,1.0,1.0,1.0
revolutionize,1.0,1.0,1.0,1.0
revolutionized,1.0,1.0,1.0,1.0
revolutionizes,1.0,1.0,1.0,1.0
revulsion,-1.0,-1.0,-1.0,-1.0
revulsive,-1.0,-1.0,-1.0,-1.0
reward,1.0,1.0,1.0,0.675
rewardable,0.5,0.5,0.5,0.5
rewarded,0.55,0.55,0.55,0.55
rewarder,0.4,0.4,0.4,0.4
rewarders,0.475,0.475,0.475,0.475
rewarding,1.0,1.0,1.0,0.6
rewardingly,1.0,1.0,1.0,0.6
rewards,0.525,0.525,0.525,0.525
rhapsodize,-1.0,-1.0,-1.0,-1.0
rhetoric,-1.0,-1.0,-1.0,-1.0
rhetorical,-1.0,-1.0,-1.0,-1.0
ricer,-1.0,-1.0,-1.0,-1.0
rich,1.0,1.0,1.0,0.65
richened,0.475,0.475,0.475,0.475
richening,0.25,0.25,0.25,0.25
richens,0.2,0.2,0.2,0.2
richer,0.8,0.8,1.0,0.6
riches,1.0,1.0,0.8666666666666667,0.6
richest,0.6,0.6,0.6,0.6
richly,1.0,1.0,1.0,0.475
richness,1.0,1.0,1.0,0.55
richnesses,0.525,0.525,0.525,0.525
richweed,0.025,0.025,0.025,0.025
richweeds,-0.025,-0.025,-0.025,-0.025
rid,-1.0,-1.0,-1.0,-1.0
ridicule,-1.0,-1.0,-1.0,-0.5
ridiculed,-0.375,-0.375,-0.375,-0.375
ridiculer,-0.4,-0.4,-0.4,-0.4
ridiculers,-0.4,-0.4,-0.4,-0.4
ridicules,-0.725,-0.725,-1.0,-0.45
ridiculing,-0.45,-0.45,-0.45,-0.45
ridiculous,-1.0,-1.0,-1.0,-0.375
ridiculously,-1.0,-1.0,-1.0,-0.35
ridiculousness,-0.275,-0.275,-0.275,-0.275
ridiculousnesses,-0.4,-0.4,-0.4,-0.4
rife,-1.0,-1.0,-1.0,-1.0
rift,-1.0,-1.0,-1.0,-1.0
rifts,-1.0,-1.0,-1.0,-1.0
rig,-0.125,-0.125,-0.125,-0.125
rigged,-0.375,-0.375,-0.375,-0.375
right,1.0,1.0,1.0,1.0
righten,1.0,1.0,1.0,1.0
righteous,1.0,1.0,1.0,1.0
righteously,1.0,1.0,1.0,1.0
righteousness,1.0,1.0,1.0,1.0
rightful,1.0,1.0,1.0,1.0
rightfully,1.0,1.0,1.0,1.0
rightly,1.0,1.0,1.0,1.0
rightness,1.0,1.0,1.0,1.0
rights,1.0,1.0,1.0,1.0
rigid,-1.0,-1.0,-1.0,-0.125
rigidification,-0.275,-0.275,-0.275,-0.275
rigidifications,-0.2,-0.2,-0.2,-0.2
rigidified,-0.175,-0.175,-0.175,-0.175
rigidifies,-0.15,-0.15,-0.15,-0.15
rigidify,-0.075,-0.075,-0.075,-0.075
rigidities,-0.175,-0.175,-0.175,-0.175
rigidity,-0.5875,-0.5875,-1.0,-0.175
rigidly,-0.175,-0.175,-0.175,-0.175
rigidness,-0.5375,-0.5375,-1.0,-0.075
rigor,-1.0,-1.0,-1.0,-1.0
rigorous,-1.0,-1.0,-0.7583333333333333,-0.275
rigorously,-0.1,-0.1,-0.1,-0.1
rile,-1.0,-1.0,-1.0,-1.0
riled,-1.0,-1.0,-1.0,-1.0
riot,-0.65,-0.65,-0.65,-0.65
riots,-0.575,-0.575,-0.575,-0.575
rip,-1.0,-1.0,-1.0,-1.0
rip-off,-1.0,-1.0,-1.0,-1.0
ripe,1.0,1.0,1.0,1.0
ripoff,-1.0,-1.0,-1.0,-1.0
ripped,-1.0,-1.0,-1.0,-1.0
risk,-1.0,-1.0,-1.0,-0.275
risk-free,1.0,1.0,1.0,1.0
risked,-0.225,-0.225,-0.225,-0.225
risker,-0.2,-0.2,-0.2,-0.2
riskier,-0.35,-0.35,-0.35,-0.35
riskiest,-0.375,-0.375,-0.375,-0.375
riskily,-0.175,-0.175,-0.175,-0.175
riskiness,-0.325,-0.325,-0.325,-0.325
riskinesses,-0.4,-0.4,-0.4,-0.4
risking,-0.325,-0.325,-0.325,-0.325
riskless,0.325,0.325,0.325,0.325
risks,-0.6375,-0.6375,-1.0,-0.275
risky,-1.0,-1.0,-1.0,-0.2
rival,-1.0,-1.0,-1.0,-1.0
rivalry,-1.0,-1.0,-1.0,-1.0
roadblocks,-1.0,-1.0,-1.0,-1.0
rob,-0.65,-0.65,-0.65,-0.65
robber,-0.65,-0.65,-0.65,-0.65
robed,-0.175,-0.175,-0.175,-0.175
robing,-0.375,-0.375,-0.375,-0.375
robs,-0.5,-0.5,-0.5,-0.5
robust,1.0,1.0,1.0,0.35
rock-star,1.0,1.0,1.0,1.0
rock-stars,1.0,1.0,1.0,1.0
rockstar,1.0,1.0,1.0,1.0
rockstars,1.0,1.0,1.0,1.0
rocky,-1.0,-1.0,-1.0,-1.0
rofl,0.675,0.675,0.675,0.675
roflcopter,0.525,0.525,0.525,0.525
roflmao,0.625,0.625,0.625,0.625
rogue,-1.0,-1.0,-1.0,-1.0
rollercoaster,-1.0,-1.0,-1.0,-1.0
romance,0.65,0.65,0.65,0.65
romanced,0.55,0.55,0.55,0.55
romancer,0.325,0.325,0.325,0.325
romancers,0.425,0.425,0.425,0.425
romances,0.325,0.325,0.325,0.325
romancing,0.5,0.5,0.5,0.5
romantic,1.0,1.0,1.0,0.425
romantically,1.0,1.0,1.0,0.45
romanticise,0.425,0.425,0.425,0.425
romanticised,0.425,0.425,0.425,0.425
romanticises,0.325,0.325,0.325,0.325
romanticising,0.675,0.675,0.675,0.675
romanticism,0.55,0.55,0.55,0.55
romanticisms,0.525,0.525,0.525,0.525
romanticist,0.475,0.475,0.475,0.475
romanticists,0.325,0.325,0.325,0.325
romanticization,0.375,0.375,0.375,0.375
romanticizations,0.5,0.5,0.5,0.5
romanticize,1.0,1.0,1.0,0.45
romanticized,0.225,0.225,0.225,0.225
romanticizes,0.45,0.45,0.45,0.45
romanticizing,0.3,0.3,0.3,0.3
romantics,0.475,0.475,0.475,0.475
roomier,1.0,1.0,1.0,1.0
roomy,1.0,1.0,1.0,1.0
rosy,1.0,1.0,1.0,1.0
rot,-1.0,-1.0,-1.0,-1.0
rotfl,0.65,0.65,0.65,0.65
rotflmao,0.7,0.7,0.7,0.7
rotflmfao,0.625,0.625,0.625,0.625
rotflol,0.75,0.75,0.75,0.75
rotgl,0.725,0.725,0.725,0.725
rotglmao,0.45,0.45,0.45,0.45
rotten,-1.0,-1.0,-1.0,-0.575
rough,-1.0,-1.0,-1.0,-1.0
rousing,1.0,1.0,1.0,1.0
rremediable,-1.0,-1.0,-1.0,-1.0
rubbish,-1.0,-1.0,-1.0,-1.0
rude,-1.0,-1.0,-1.0,-0.5
rudely,-0.55,-0.55,-0.55,-0.55
rudeness,-0.375,-0.375,-0.375,-0.375
ruder,-0.525,-0.525,-0.525,-0.525
ruderal,-0.2,-0.2,-0.2,-0.2
ruderals,-0.1,-0.1,-0.1,-0.1
rudesby,-0.5,-0.5,-0.5,-0.5
rudest,-0.625,-0.625,-0.625,-0.625
rue,-1.0,-1.0,-1.0,-1.0
ruffian,-1.0,-1.0,-1.0,-1.0
ruffle,-1.0,-1.0,-1.0,-1.0
ruin,-1.0,-1.0,-1.0,-0.7
ruinable,-0.4,-0.4,-0.4,-0.4
ruinate,-0.7,-0.7,-0.7,-0.7
ruinated,-0.375,-0.375,-0.375,-0.375
ruinates,-0.375,-0.375,-0.375,-0.375
ruinating,-0.375,-0.375,-0.375,-0.375
ruination,-0.675,-0.675,-0.675,-0.675
ruinations,-0.4,-0.4,-0.4,-0.4
ruined,-0.7625,-0.7625,-1.0,-0.525
ruiner,-0.5,-0.5,-0.5,-0.5
ruing,-0.4,-0.4,-0.4,-0.4
ruining,-0.625,-0.625,-1.0,-0.25
ruinous,-1.0,-1.0,-1.0,-0.675
ruinously,-0.65,-0.65,-0.65,-0.65
ruinousness,-0.25,-0.25,-0.25,-0.25
ruins,-0.7375,-0.7375,-1.0,-0.475
rumbling,-1.0,-1.0,-1.0,-1.0
rumor,-1.0,-1.0,-1.0,-1.0
rumors,-1.0,-1.0,-1.0,-1.0
rumours,-1.0,-1.0,-1.0,-1.0
rumple,-1.0,-1.0,-1.0,-1.0
run-down,-1.0,-1.0,-1.0,-1.0
runaway,-1.0,-1.0,-1.0,-1.0
rupture,-1.0,-1.0,-1.0,-1.0
rust,-1.0,-1.0,-1.0,-1.0
rusts,-1.0,-1.0,-1.0,-1.0
rusty,-1.0,-1.0,-1.0,-1.0
rut,-1.0,-1.0,-1.0,-1.0
ruthless,-1.0,-1.0,-1.0,-1.0
ruthlessly,-1.0,-1.0,-1.0,-1.0
ruthlessness,-1.0,-1.0,-1.0,-1.0
ruts,-1.0,-1.0,-1.0,-1.0
s:,-0.275,-0.275,-0.275,-0.275
sabotage,-1.0,-1.0,-1.0,-0.6
sack,-1.0,-1.0,-1.0,-1.0
sacred,1.0,1.0,1.0,1.0
sacrifice,-1.0,-1.0,-1.0,-1.0
sacrificed,-1.0,-1.0,-1.0,-1.0
sad,-1.0,-1.0,-1.0,-0.525
sadden,-1.0,-1.0,-1.0,-0.65
saddened,-0.6,-0.6,-0.6,-0.6
saddening,-0.55,-0.55,-0.55,-0.55
saddens,-0.475,-0.475,-0.475,-0.475
sadder,-0.6,-0.6,-0.6,-0.6
saddest,-0.75,-0.75,-0.75,-0.75
sadly,-1.0,-1.0,-1.0,-0.45
sadness,-1.0,-1.0,-1.0,-0.475
safe,1.0,1.0,1.0,0.475
safecracker,-0.175,-0.175,-0.175,-0.175
safecrackers,-0.225,-0.225,-0.225,-0.225
safecracking,-0.225,-0.225,-0.225,-0.225
safecrackings,-0.175,-0.175,-0.175,-0.175
safeguard,1.0,1.0,0.7999999999999999,0.4
safeguarded,0.375,0.375,0.375,0.375
safeguarding,0.275,0.275,0.275,0.275
safeguards,0.35,0.35,0.35,0.35
safekeeping,0.35,0.35,0.35,0.35
safelight,0.275,0.275,0.275,0.275
safelights,0.2,0.2,0.2,0.2
safely,0.775,0.775,1.0,0.55
safeness,0.375,0.375,0.375,0.375
safer,0.45,0.45,0.45,0.45
safes,0.1,0.1,0.1,0.1
safest,0.425,0.425,0.425,0.425
safeties,0.375,0.375,0.375,0.375
safety,0.45,0.45,0.45,0.45
safetyman,0.075,0.075,0.075,0.075
sag,-1.0,-1.0,-1.0,-1.0
sagacity,1.0,1.0,1.0,1.0
sage,1.0,1.0,1.0,1.0
sagely,1.0,1.0,1.0,1.0
sagged,-1.0,-1.0,-1.0,-1.0
sagging,-1.0,-1.0,-1.0,-1.0
saggy,-1.0,-1.0,-1.0,-1.0
sags,-1.0,-1.0,-1.0,-1.0
saint,1.0,1.0,1.0,1.0
saintliness,1.0,1.0,1.0,1.0
saintly,1.0,1.0,1.0,1.0
salable,1.0,1.0,1.0,1.0
salacious,-1.0,-1.0,-1.0,-1.0
salient,0.275,0.275,0.275,0.275
salivate,1.0,1.0,1.0,1.0
salutary,1.0,1.0,1.0,1.0
salute,1.0,1.0,1.0,1.0
salvation,1.0,1.0,1.0,1.0
sanctify,1.0,1.0,1.0,1.0
sanctimonious,-1.0,-1.0,-1.0,-1.0
sanction,1.0,1.0,1.0,1.0
sanctity,1.0,1.0,1.0,1.0
sanctuary,1.0,1.0,1.0,1.0
sane,1.0,1.0,1.0,1.0
sanguine,1.0,1.0,1.0,1.0
sanity,1.0,1.0,1.0,1.0
sap,-1.0,-1.0,-1.0,-1.0
sapfu,-0.275,-0.275,-0.275,-0.275
sappy,-0.25,-0.25,-0.25,-0.25
sarcasm,-1.0,-1.0,-1.0,-0.225
sarcasms,-0.225,-0.225,-0.225,-0.225
sarcastic,-1.0,-1.0,-1.0,-0.25
sarcastically,-1.0,-1.0,-1.0,-0.275
sardonic,-1.0,-1.0,-1.0,-1.0
sardonically,-1.0,-1.0,-1.0,-1.0
sass,-1.0,-1.0,-1.0,-1.0
satirical,-1.0,-1.0,-1.0,-1.0
satirize,-1.0,-1.0,-1.0,-1.0
satisfaction,1.0,1.0,0.8250000000000001,0.475
satisfactions,0.525,0.525,0.525,0.525
satisfactorily,1.0,1.0,1.0,0.4
satisfactoriness,0.375,0.375,0.375,0.375
satisfactory,1.0,1.0,1.0,0.375
satisfiable,0.475,0.475,0.475,0.475
satisfied,0.725,0.725,1.0,0.45
satisfies,0.725,0.725,1.0,0.45
satisfy,1.0,1.0,1.0,0.5
satisfying,1.0,1.0,1.0,0.5
satisfyingly,0.475,0.475,0.475,0.475
satisified,1.0,1.0,1.0,1.0
savage,-1.0,-1.0,-1.0,-0.5
savaged,-1.0,-1.0,-1.0,-0.5
savagely,-1.0,-1.0,-0.85,-0.55
savageness,-0.65,-0.65,-0.65,-0.65
savagenesses,-0.225,-0.225,-0.225,-0.225
savageries,-0.475,-0.475,-0.475,-0.475
savagery,-1.0,-1.0,-1.0,-0.625
savages,-1.0,-1.0,-1.0,-0.6
save,0.55,0.55,0.55,0.55
saved,0.45,0.45,0.45,0.45
saver,1.0,1.0,1.0,1.0
savings,1.0,1.0,1.0,1.0
savior,1.0,1.0,1.0,1.0
savor,1.0,1.0,1.0,1.0
savvy,1.0,1.0,1.0,1.0
scaly,-1.0,-1.0,-1.0,-1.0
scam,-0.8375,-0.8375,-1.0,-0.675
scams,-0.85,-0.85,-1.0,-0.7
scandal,-1.0,-1.0,-1.0,-0.475
scandalize,-1.0,-1.0,-1.0,-1.0
scandalized,-1.0,-1.0,-1.0,-1.0
scandalous,-1.0,-1.0,-1.0,-0.6
scandalously,-1.0,-1.0,-1.0,-1.0
scandals,-1.0,-1.0,-1.0,-0.55
scandel,-1.0,-1.0,-1.0,-1.0
scandels,-1.0,-1.0,-1.0,-1.0
scant,-1.0,-1.0,-1.0,-1.0
scapegoat,-1.0,-1.0,-1.0,-0.425
scapegoats,-0.35,-0.35,-0.35,-0.35
scar,-1.0,-1.0,-1.0,-1.0
scarce,-1.0,-1.0,-1.0,-1.0
scarcely,-1.0,-1.0,-1.0,-1.0
scarcity,-1.0,-1.0,-1.0,-1.0
scare,-1.0,-1.0,-1.0,-0.55
scarecrow,-0.2,-0.2,-0.2,-0.2
scarecrows,-0.175,-0.175,-0.175,-0.175
scared,-1.0,-1.0,-1.0,-0.475
scaremonger,-0.525,-0.525,-0.525,-0.525
scaremongers,-0.5,-0.5,-0.5,-0.5
scarer,-0.425,-0.425,-0.425,-0.425
scarers,-0.325,-0.325,-0.325,-0.325
scares,-0.35,-0.35,-0.35,-0.35
scarey,-0.425,-0.425,-0.425,-0.425
scarier,-1.0,-1.0,-1.0,-1.0
scariest,-1.0,-1.0,-1.0,-1.0
scarily,-1.0,-1.0,-1.0,-1.0
scaring,-0.475,-0.475,-0.475,-0.475
scarred,-1.0,-1.0,-1.0,-1.0
scars,-1.0,-1.0,-1.0,-1.0
scary,-1.0,-1.0,-1.0,-0.55
scathing,-1.0,-1.0,-1.0,-1.0
scathingly,-1.0,-1.0,-1.0,-1.0
scenic,1.0,1.0,1.0,1.0
sceptic,-0.25,-0.25,-0.25,-0.25
sceptical,-0.65,-0.65,-1.0,-0.3
scepticism,-0.2,-0.2,-0.2,-0.2
sceptics,-0.175,-0.175,-0.175,-0.175
scheme,-1.0,-1.0,-1.0,-1.0
scheming,-1.0,-1.0,-1.0,-1.0
scholarly,0.0,0.0,0.0,0.0
scoff,-1.0,-1.0,-1.0,-1.0
scoffingly,-1.0,-1.0,-1.0,-1.0
scold,-1.0,-1.0,-1.0,-0.425
scolded,-1.0,-1.0,-1.0,-1.0
scolding,-1.0,-1.0,-1.0,-1.0
scoldingly,-1.0,-1.0,-1.0,-1.0
scoop,0.15,0.15,0.15,0.15
scorching,-1.0,-1.0,-1.0,-1.0
scorchingly,-1.0,-1.0,-1.0,-1.0
scorn,-1.0,-1.0,-1.0,-0.425
scornful,-1.0,-1.0,-1.0,-0.45
scornfully,-1.0,-1.0,-1.0,-1.0
scoundrel,-1.0,-1.0,-1.0,-1.0
scourge,-1.0,-1.0,-1.0,-1.0
scowl,-1.0,-1.0,-1.0,-1.0
scramble,-1.0,-1.0,-1.0,-1.0
scrambled,-1.0,-1.0,-1.0,-1.0
scrambles,-1.0,-1.0,-1.0,-1.0
scrambling,-1.0,-1.0,-1.0,-1.0
scrap,-1.0,-1.0,-1.0,-1.0
scratch,-1.0,-1.0,-1.0,-1.0
scratched,-1.0,-1.0,-1.0,-1.0
scratches,-1.0,-1.0,-1.0,-1.0
scratchy,-1.0,-1.0,-1.0,-1.0
scream,-1.0,-1.0,-1.0,-0.425
screamed,-0.325,-0.325,-0.325,-0.325
screamers,-0.375,-0.375,-0.375,-0.375
screaming,0.0,0.0,-0.13333333333333333,-0.4
screamingly,0.0,0.0,0.0,0.0
screams,-0.3,-0.3,-0.3,-0.3
screech,-1.0,-1.0,-1.0,-1.0
screw,-1.0,-1.0,-0.7000000000000001,-0.1
screw-up,-1.0,-1.0,-1.0,-1.0
screwball,-0.05,-0.05,-0.05,-0.05
screwballs,-0.075,-0.075,-0.075,-0.075
screwbean,0.075,0.075,0.075,0.075
screwdriver,0.075,0.075,0.075,0.075
screwdrivers,0.025,0.025,0.025,0.025
screwed,-0.775,-0.775,-1.0,-0.55
screwed up,-0.375,-0.375,-0.375,-0.375
screwed-up,-1.0,-1.0,-1.0,-1.0
screwer,-0.3,-0.3,-0.3,-0.3
screwers,-0.125,-0.125,-0.125,-0.125
screwier,-0.15,-0.15,-0.15,-0.15
screwiest,-0.5,-0.5,-0.5,-0.5
screwiness,-0.125,-0.125,-0.125,-0.125
screwing,-0.225,-0.225,-0.225,-0.225
screwlike,0.025,0.025,0.025,0.025
screws,-0.25,-0.25,-0.25,-0.25
screwup,-0.425,-0.425,-0.425,-0.425
screwups,-0.25,-0.25,-0.25,-0.25
screwworm,-0.1,-0.1,-0.1,-0.1
screwworms,-0.025,-0.025,-0.025,-0.025
screwy,-0.675,-0.675,-1.0,-0.35
scrumptious,0.525,0.525,0.525,0.525
scrumptiously,0.375,0.375,0.375,0.375
scruples,1.0,1.0,1.0,1.0
scrupulous,1.0,1.0,1.0,1.0
scrupulously,1.0,1.0,1.0,1.0
scrutinize,0.0,0.0,0.0,0.0
scrutiny,0.0,0.0,0.0,0.0
scuff,-1.0,-1.0,-1.0,-1.0
scuffs,-1.0,-1.0,-1.0,-1.0
scum,-1.0,-1.0,-1.0,-1.0
scumbag,-0.8,-0.8,-0.8,-0.8
scummy,-1.0,-1.0,-1.0,-1.0
seamless,1.0,1.0,1.0,1.0
seasoned,1.0,1.0,1.0,1.0
second-class,-1.0,-1.0,-1.0,-1.0
second-tier,-1.0,-1.0,-1.0,-1.0
secretive,-1.0,-1.0,-1.0,-1.0
secure,1.0,1.0,1.0,0.35
secured,0.425,0.425,0.425,0.425
securely,1.0,1.0,1.0,0.35
securement,0.275,0.275,0.275,0.275
secureness,0.35,0.35,0.35,0.35
securer,0.375,0.375,0.375,0.375
securers,0.15,0.15,0.15,0.15
secures,0.325,0.325,0.325,0.325
securest,0.65,0.65,0.65,0.65
securing,0.325,0.325,0.325,0.325
securities,0.3,0.3,0.3,0.3
securitization,0.05,0.05,0.05,0.05
securitizations,0.025,0.025,0.025,0.025
securitize,0.075,0.075,0.075,0.075
securitized,0.35,0.35,0.35,0.35
securitizes,0.4,0.4,0.4,0.4
securitizing,0.175,0.175,0.175,0.175
security,1.0,1.0,0.7833333333333333,0.35
sedentary,-1.0,-1.0,-1.0,-1.0
sedition,-0.45,-0.45,-0.45,-0.45
seditious,-0.425,-0.425,-0.425,-0.425
seduced,-0.375,-0.375,-0.375,-0.375
seductive,1.0,1.0,1.0,1.0
seedy,-1.0,-1.0,-1.0,-1.0
seem,0.0,0.0,0.0,0.0
seemingly,0.0,0.0,0.0,0.0
seethe,-1.0,-1.0,-1.0,-1.0
seething,-1.0,-1.0,-1.0,-1.0
selective,1.0,1.0,1.0,1.0
self-confident,0.625,0.625,0.625,0.625
self-coup,-1.0,-1.0,-1.0,-1.0
self-criticism,-1.0,-1.0,-1.0,-1.0
self-defeating,-1.0,-1.0,-1.0,-1.0
self-destructive,-1.0,-1.0,-1.0,-1.0
self-determination,1.0,1.0,1.0,1.0
self-examination,0.0,0.0,0.0,0.0
self-humiliation,-1.0,-1.0,-1.0,-1.0
self-interest,-1.0,-1.0,-1.0,-1.0
self-interested,-1.0,-1.0,-1.0,-1.0
self-respect,1.0,1.0,1.0,1.0
self-satisfaction,1.0,1.0,1.0,1.0
self-serving,-1.0,-1.0,-1.0,-1.0
self-sufficiency,1.0,1.0,1.0,1.0
self-sufficient,1.0,1.0,1.0,1.0
selfinterested,-1.0,-1.0,-1.0,-1.0
selfish,-1.0,-1.0,-1.0,-0.525
selfishly,-1.0,-1.0,-1.0,-0.35
selfishness,-1.0,-1.0,-1.0,-0.425
selfishnesses,-0.5,-0.5,-0.5,-0.5
semblance,1.0,1.0,1.0,1.0
semi-retarded,-1.0,-1.0,-1.0,-1.0
senile,-1.0,-1.0,-1.0,-1.0
sensation,1.0,1.0,1.0,1.0
sensational,1.0,1.0,1.0,1.0
sensationalize,-1.0,-1.0,-1.0,-1.0
sensationally,1.0,1.0,1.0,1.0
sensations,1.0,1.0,1.0,1.0
sense,1.0,1.0,1.0,1.0
senseless,-1.0,-1.0,-1.0,-1.0
senselessly,-1.0,-1.0,-1.0,-1.0
sensible,1.0,1.0,1.0,1.0
sensibly,1.0,1.0,1.0,1.0
sensitive,1.0,1.0,1.0,1.0
sensitively,1.0,1.0,1.0,1.0
sensitivity,1.0,1.0,1.0,1.0
sentence,0.075,0.075,0.075,0.075
sentenced,-0.025,-0.025,-0.025,-0.025
sentences,0.05,0.05,0.05,0.05
sentencing,-0.15,-0.15,-0.15,-0.15
sentiment,1.0,1.0,1.0,1.0
sentimental,0.325,0.325,0.325,0.325
sentimentalise,0.3,0.3,0.3,0.3
sentimentalised,0.2,0.2,0.2,0.2
sentimentalising,0.1,0.1,0.1,0.1
sentimentalism,0.25,0.25,0.25,0.25
sentimentalisms,0.1,0.1,0.1,0.1
sentimentalist,0.2,0.2,0.2,0.2
sentimentalists,0.175,0.175,0.175,0.175
sentimentalities,0.225,0.225,0.225,0.225
sentimentality,1.0,1.0,0.7666666666666666,0.3
sentimentalization,0.3,0.3,0.3,0.3
sentimentalizations,0.1,0.1,0.1,0.1
sentimentalize,0.2,0.2,0.2,0.2
sentimentalized,0.275,0.275,0.275,0.275
sentimentalizes,0.275,0.275,0.275,0.275
sentimentalizing,0.2,0.2,0.2,0.2
sentimentally,1.0,1.0,0.8250000000000001,0.475
sentiments,1.0,1.0,1.0,1.0
serene,1.0,1.0,1.0,0.5
